Месяц,к пролонгации первый месяц,пролонгировано в первый месяц,Коэффицент в первый месяц,к пролонгации через месяц,пролонгировано через месяц,Коэффицент через месяц
202302,832607.17,0.0,0.0,0.0,0.0,0.0
202303,1246675.0,0.0,0.0,832607.17,0.0,0.0
202304,795685.5,0.0,0.0,1246675.0,0.0,0.0
202305,936710.0,0.0,0.0,795685.5,0.0,0.0
202306,1134606.18,0.0,0.0,936710.0,0.0,0.0
202307,1513919.85,0.0,0.0,1134606.18,0.0,0.0
202308,843369.39,0.0,0.0,1513919.85,0.0,0.0
202309,1876917.75,0.0,0.0,843369.39,0.0,0.0
202310,1113707.68,0.0,0.0,1876917.75,0.0,0.0
202311,379460.0,0.0,0.0,1113707.68,0.0,0.0
202312,884066.06,0.0,0.0,379460.0,0.0,0.0
